address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1Q6XaucrfM7NKZH1KyM4sYFvmwX3gs7jDv,82255197.0,4,296,9.87878787878788,326,33,20893.0,50819.555556,448204.0,1149.0,497.79696756,497.79696756,15.0847565927,1.52698456307,497.79696755999987,0
19s893gM3uZeUwLt8QGhtQNeq2WSSY8kto,92264246.0,3,327,2.9439252336448596,315,107,48002.0,73666.96969700001,1966661.0,1064.0,1007.63,1007.63,9.417102803739999,3.19882539683,1007.63,0
12zLSnCKxoMHxaDdEWMqV3CJronBxiJueF,21067624.0,3,15,2.1111111111111107,19,9,13267.0,16482.6,42364.0,2748.0,35.77,35.77,3.97444444444,1.88263157895,35.77,0
1AgjkmvxDM5FKPGJVLEPeJrRkWNRtR2MMM,103292428.0,2,27,28.0,28,1,29303077.0,29303077.0,29303077.0,29303077.0,9.16,9.31001,9.16,0.33250035714299997,9.310010000000002,0
1CXHbL635rGzpYBLgu7vbZhjJrTFoEqVEX,1361064.0,4,12,1.0,13,13,9926.5,21283.333333000002,66695.0,1896.0,25.44,25.44,1.9569230769200001,1.9569230769200001,25.44,0
1PNsJuxMHWMetGkvVy5QzhTKvJ292N4rZG,4088916.0,4,21,1.75,28,16,2656.0,22073.5625,247366.0,387.0,45.22,45.61,2.82625,1.6289285714300001,45.61,0
1E8yCaf5JoS3whRv4NkhaMhYX8GcqBovg8,126479285.0,6,377,9.36734693877551,459,49,58457.0,127756.66666700001,777646.0,868.0,4466.17538012,4466.18538012,91.146436329,9.73025137281,4466.185380120002,0
1JzUZ7bECqP8w69aVtaUDrNyU3adkeSqNV,77914644.0,4,28,1.3043478260869563,30,23,48380.0,5265576.416666999,62209256.0,1173.0,581.63787453,581.63787453,25.2886032404,19.387929150999998,581.6378745300002,0
1DZE4euPkJjKtQPjF8C91FYHq4Th2BAyfR,128424004.0,18,251,2.8352941176470585,241,85,32893.0,222110.60759499998,7731473.0,0.0,269.8849315,280.90503152,3.17511684118,1.16558104365,280.9050315200001,0
1GwxT73AJTQ6zQvq7JFKpQT6vzApXxDUQF,60306436.0,14,78,1.2921348314606742,115,89,5210.0,80935.042254,915724.0,0.0,32.7414926,32.7414926,0.367881939326,0.284708631304,32.74149260000001,0
1QGpNjt9DYeyRBvSZfikoNa9XCKoXCkko3,199958313.0,8,186,4.475,179,40,83319.0,613518.0769229999,7230327.0,283.0,38.10764616,38.10764616,0.94701639725,0.211623775922,37.88065588999999,0
12h4LX94tm9QMehvE7udtfZ8jnfAQZc8ky,61655840.0,2,39,4.5,36,8,64434.0,1996447.285714,13628149.0,4603.0,125.28,125.28,15.66,3.48,125.28000000000004,0
16aASqj3dxhCwifzuDc3FudM2GTULY5iiG,78225917.0,2,25,6.75,27,4,12908.0,32315.333333,75167.0,8871.0,31.89,31.89,7.9725,1.1811111111100001,31.89,0
19nXCpW7apoqgaNJ9xroc5YPPz9MPdxBTM,132612054.0,2,27,31.0,31,1,379768.0,379768.0,379768.0,379768.0,0.9,1.62000002,0.9,0.0522580651613,1.6200000200000004,0
1B3QCX8p9bpvKNzqRQ3h2ZNtyqHAQE4q5r,82605788.0,4,34,4.125,33,8,31605.5,31605.5,46521.0,16690.0,61.3199,61.3199,7.65625,1.8560606060599998,61.25,0
1Fx49UuXdg6y6jEDMCkPzR8tbq9iA6cZCX,2653427.0,3,22,5.0,25,5,243257.0,243257.0,243257.0,243257.0,195.57,195.57,39.114000000000004,7.8228,195.57,0
1HdxdoHkrSCFmSCzMhA2rUD9hgyYoLHMSN,1797451.0,32,6,1.9411764705882355,33,17,0.0,349.0,3986.0,0.0,1736.34,1736.34,102.137647059,52.6163636364,1736.3400000000006,0
1C9w9sHsBvTnyzbHUu9pPA1n6pdaPVoGMk,2180205.0,4,17,1.75,21,12,3689.0,16440.6,56010.0,0.0,32.51,32.54,2.70916666667,1.5495238095200001,32.540000000000006,0
1BPGtyVGdBhhKwtcyNiLeJs8kAhg1axxvZ,103275956.0,6,45,1.0169491525423728,60,59,7625.5,16655.166666999998,85629.0,991.0,88.89,88.89001,1.50661016949,1.48150016667,88.89001000000003,0
1PhmqYX9zWC2JmW824reU2fNHbgTSMC229,45631551.0,11,214,15.533333333333333,233,15,57768.0,306254.555556,2200618.0,20534.0,514.36839799,514.36839799,34.2912265327,2.20758969094,514.3683979900003,0
1LNYouivbWuYCFkkxLfLai3qQaNcd5YiUc,377881.0,13,5,15.5,31,2,3232.0,3232.0,3232.0,3232.0,2.82,2.82,1.41,0.0909677419355,2.8200000000000007,0
14Fs7aGWngjccyrytx9GUHB6Xct8LYAjz4,41339.0,46,2,14.666666666666664,44,3,0.0,13.0,117.0,0.0,25.47,25.47,8.49,0.578863636364,25.470000000000052,0
1CpGoJkJeYYJFfc1ntYs4oKyt89dzhuuG8,249296.0,16,3,1.0666666666666669,16,15,2960.5,2960.5,4209.0,1712.0,350.0,350.0,23.3333333333,21.875,350.0,0
149eX3cegvbhnxxAeBhzUM5a6g8xCyV3Q6,3147916.0,3,20,1.0,15,15,14836.0,24806.846154,93792.0,3316.0,18.2,18.2,1.2133333333299998,1.2133333333299998,18.2,0
12e7qnNsYzpaaz3eVFTPQeBcsk3mV38Gyx,169063390.0,3,83,3.4782608695652173,80,23,123559.0,982971.0454549999,10213254.0,8723.0,4.76519786,4.76519786,0.20718251565200002,0.05956497325,4.76519786,0
