address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1EsSD5htpPEELgEWKJAJfAXRW1XpVKS7PC,7190444,"('2011-03-26', 9)",26,1.03125,33,32,67,18989,37122.25,155614,0,1.7,1.7,0.053125,0.051515152,1.7,0
1A3HkarNN9f6PH5JdjUTE1gRsSuK1TwYfY,3280552,"('2011-06-02', 4)",23,1.111111111,20,18,67,50975,62040.1,205270,2612,26.51386128,26.51386128,1.472992293,1.325693064,26.51386128,0
12ys4qSPDtKi9mgdFTxb57gZSBthNdPhFS,16955317,"('2011-09-04', 4)",106,7.411764706,126,17,67,23379,82417.86667,618415,3312,166.0216752,166.0216752,9.765980894,1.317632343,166.0216752,0
1FCiddHMtH2uDN49z15ZJxLaZ3Z6gVvLn8,42393638,"('2012-06-18', 555)",4,1.322147651,591,447,67,0,80.626482,17136,0,57.522059,57.522059,0.128684696,0.097330049,57.522059,0
122nTe2oVFHivrPTMmbFCDDG1it5Ms7se1,20257935,"('2011-06-19', 2)",43,1.714285714,36,21,67,10412,85129.36842,932744,209,218.43,218.43,10.40142857,6.0675,218.43,0
15B8YDtb8AUvSKmWXDaQ44ox6sjLoamM1e,14061589,"('2011-05-10', 18)",110,1.601449275,221,138,67,15591.5,25347.97619,201627,0,1129.381306,1129.381306,8.183922508,5.110322652,1129.381306,0
17sKq9t2ZHoc1JiyfGENAKwhQgUgZvsxSR,189104216,"('2011-03-30', 2)",36,3.625,29,8,67,348047,348047,651948,44146,40.64,40.64,5.08,1.40137931,40.64,0
17xmF7ZSUhM2PY9AqzT3oWeqeorUKiFBda,794201,"('2011-05-03', 8)",8,5.8,29,5,67,858,20961.33333,61836,190,4.15,4.15,0.83,0.143103448,4.15,0
1LekJj3LY6QuybMJ638qcvyTMftiPS6XBD,62909865,"('2013-04-02', 179)",7,5.479166667,263,48,67,0,564425.7207,62524134,0,29.16276668,29.16276668,0.60472842,0.110368685,29.02696418,0
1CCAY1z6Hqq52E1UcWe3bd9WioSJYJKoD2,29259058,"('2011-06-17', 3)",33,1.933333333,29,15,67,120247,119661.8333,188127,52543,44.94006111,44.94006111,2.996004074,1.54965728,44.94006111,0
13a3ir2AkXqVa6SNFu3fUCddvcH17sMwEu,118852515,"('2011-05-07', 10)",92,102.6666667,308,3,61,40983,40983,40983,40983,3.52591187,32.64446111,1.175303957,0.10598851,32.64446111,0
1FnhnhZxukuvhCUdrLoCydh7c2hweS9vqU,6793074,"('2011-06-09', 4)",18,1.285714286,18,14,67,2889,25298.09091,177544,298,232.25,232.25,16.58928571,12.90277778,232.25,0
12ZgoTPpWoL4fZiGA6LTpb77NcBAF5p842,181955373,"('2011-05-16', 6)",42,14.57142857,102,7,59,8098.5,8098.5,11235,4962,20.8963143,20.8963143,2.959685921,0.2031157,20.71780145,0
1DtfkVjwaGzav1c4ZMCYfpexPif9JL9WZD,215365143,"('2011-06-01', 4)",35,6.285714286,44,7,63,58271,11686825.17,69849667,0,57.36,66.69000002,8.194285714,1.515681819,66.69000002,0
1Ea6jwAVDgUohKHXcMFE3sRWYmDPzfVR4a,32527375,"('2011-12-27', 2)",52,8.333333333,50,6,67,28008,731777.25,2854592,16501,18.9,18.9,3.15,0.378,18.9,0
18oHtAN5KMGm32A2EoSiybk81oHZLZXeBj,55385381,"('2011-05-18', 11)",70,14.58333333,175,12,66,16846.5,29273,73893,3926,218.5904,218.5904,18.21586667,1.249088,218.5904,0
1Cbr8Kt8bznR3WjunfQ5Z5RyRGT63ou3Ay,10625652,"('2011-07-08', 2)",46,2.923076923,38,13,59,92587,109032.4,279731,26456,50.08,50.08,3.852307692,1.317894737,50.08,0
151oXRuzhw8K3dQaXCCXbLZ6gCTKPxus8t,6416021,"('2011-05-20', 5)",40,2.125,34,16,67,82081,86416.8,258821,3149,91.9812,91.9812,5.748825,2.705329412,91.9812,0
16VHtRfxx8k7CqC6bnXNZhMbmgwsad9D1a,17091403,"('2011-06-15', 3)",78,4.823529412,82,17,67,9228,21686.875,107118,848,46.47,46.47,2.733529412,0.566707317,46.47,0
1AjM7fvtZz7Si2rEjPLfdD7461p5hGzn1H,6669526,"('2011-04-22', 22)",63,54.83333333,658,12,65,3978,117201.375,867903,494,145.08,145.08,12.09,0.220486322,145.08,0
18fzBQCSS3bfwct9PRNb15B1QP5QZpER6H,106803171,"('2014-01-07', 3)",15,1.076923077,14,13,67,4212823.5,8337366.167,23691065,3903,2366.4519,2366.4519,182.0347615,169.0322786,2366.4519,0
15byuD7pWL6vboxLDQ9RXFf1533ZpHNBNG,211549340,"('2012-02-26', 2)",94,7,84,12,66,279519,4642487.714,14520588,5705,86.099,87.109,7.174916667,1.037011905,87.109,0
1H1HPtjtffaQBz9UsGh3M53f4AyWGhe2eT,155100639,"('2011-05-27', 5)",25,5.142857143,36,7,67,28570,28570,28570,28570,30.87,30.87,4.41,0.8575,30.87,0
1F4XpKERxn426KquCavNmcRxokz6gaaxQK,98743308,"('2011-03-20', 5)",56,8.75,70,8,64,79227,89271,166879,3874,71.54,71.54,8.9425,1.022,71.54,0
1GDN7PKf7t427dcPU7mXZjPzresga3MHpA,38182120,"('2011-06-04', 4)",57,2.476190476,52,21,67,83083,88153.36364,252705,0,22.49451539,22.49451539,1.0711674,0.432586834,22.49451539,0
1HMus71jpU8PGgcSStdoJ9PPsBACayHNQT,2400043,"('2011-06-08', 13)",27,1.021276596,48,47,67,9943,12231.18519,35111,0,13.25,13.25,0.281914894,0.276041667,13.25,0
1CT72AtXDs4y6ikE13FUBCSkbZhjxuYapU,163551623,"('2014-09-19', 6)",22,1.714285714,24,14,64,720887,2994526.2,11736681,0,1.38023751,1.38505843,0.098588394,0.057710768,1.38505843,0
